Id,SalePrice
2658,88416.78540813243
2718,133677.4611676716
2414,235545.84867498782
1989,130561.11895749815
625,196826.35356056044
333,103631.96801059993
1327,105993.4590346595
858,137716.08670785613
95,170230.31986589622
1568,159134.7013204577
2482,176588.88143174053
1364,125597.22287756843
2584,156123.5106327842
818,265161.356863275
2673,120900.44893149918
2089,139255.48103646835
1297,151753.45923173608
790,112918.96793732984
2616,167383.706140949
720,198306.9619207398
222,155340.3139679246
557,141746.7010902672
1148,196948.77804982726
2766,209464.62855278957
534,178150.28408378447
1452,111893.99062588165
630,131514.70860285911
2648,126452.07537563234
125,183162.63880423838
1904,82706.03045688741
1670,110254.78210800902
756,124797.88508342933
717,219908.2558448011
1032,185632.54640099575
852,231810.81231354843
1731,173550.21388717272
2639,102995.67836843853
2071,113296.85880082328
1267,163136.3350988493
1851,172383.27087745958
567,172480.87944312778
2439,198129.52691931574
1898,145624.17349348805
647,171472.988440113
2256,248831.0164025984
979,97690.99567048906
1444,232319.13320967942
2485,114527.17990053234
157,123521.82668502306
88,109934.2499102158
2003,113650.19041235208
186,151118.6447865876
1425,246907.74192980395
2695,130471.39573015033
738,132063.38645379533
395,153910.9835764792
1353,119648.1905044449
1878,124234.23540588035
390,142073.8220288356
1456,250587.05166698855
1103,291862.63022687787
1387,117800.55979433867
2070,159561.42488252575
1199,149333.0755003622
2479,189888.03932400676
501,326510.44227082975
2362,98706.75412026074
1718,211286.3602590315
2188,117019.56609045842
1483,215169.3929024505
2557,120310.19264824163
437,333133.0792012785
2224,228317.91391383
1628,206845.90773293108
397,142024.44902063077
587,188281.69771631403
971,157444.09391233767
2611,134239.2388259457
1887,110812.07545881078
2399,415253.96267175436
2148,208045.16270039623
304,106655.47678538965
1997,137692.70633060156
2817,145158.03070675506
1431,182429.79203947668
427,338964.3200595395
263,128529.96955611618
598,195200.747211086
2895,207571.93232979722
687,122642.63251872215
1822,130840.98827298885
2191,107226.27036885402
179,104795.58448331544
1009,193859.1700321639
2010,117286.72822518437
1991,120661.4299217785
1411,143591.93741764716
1721,208564.20283245805
1144,194058.2503125572
593,193998.23602560823
575,317111.1288196497
1249,180305.6726355122
1604,113307.27805756096
1064,451908.27980657946
1923,156058.2042475533
1988,113868.22260042722
2325,193769.28715104944
114,173951.37278927577
2700,120524.40859690774
217,93737.83410834738
343,162795.12814321532
386,201482.34590944357
2005,142982.58411349167
2908,120802.07593321716
1814,233636.58997086764
2446,487396.1249617394
208,164065.6626455359
1679,122114.86039763626
822,369446.7045751655
6,189856.22007947526
1781,411798.31099730084
2397,325257.06973335426
2340,242042.77147270413
1618,161868.2783144423
2843,113077.79748276484
1061,335092.869408187
2786,126892.62476394117
1935,134643.17661892387
1341,122582.0459820786
521,251240.84410500163
2136,166655.584102479
996,193567.93680779205
227,179024.7013697604
135,173562.44960667376
1167,142391.31480595763
294,201611.15232396245
1776,181582.33619898284
540,181003.72035818643
1717,211282.92069146165
2303,128247.79268172753
116,167866.83267649866
127,139786.1547394291
1371,118349.53227921332
1014,185638.08760865955
1507,100052.25019424719
702,138327.00758194702
750,126881.06017736103
261,148354.05565268852
1559,97797.27458727387
577,178160.89277346784
2812,187723.45021274313
2080,142916.3138017131
1368,98016.8904997106
2376,133613.82042799835
659,142158.44252206557
1235,118334.74144788858
332,97023.29378897545
1917,131620.02325148234
2094,270649.01355892525
1460,220062.5170612081
1471,224345.73677417648
1509,124327.22575740828
1922,113973.38790228446
433,429618.22200267727
460,288507.5931217882
1116,262460.3101484189
1137,179125.86045681962
53,182897.9786004344
2354,207376.4380389259
1475,196438.89555965184
1761,351205.57298454765
842,149835.75852647983
2739,180193.0950557725
2509,164344.31601857117
1007,206986.20772423712
2610,164850.81057325142
1952,134853.56506199928
2719,129384.0715044926
2921,100471.43450010446
1966,118132.6893443143
292,117752.76872899075
1204,170393.73986168395
1829,212962.5824264605
2419,184175.75832430084
